Student_ID,Name,Gender,District,Schooling_Type,Internet_Access,Parental_Education_Level,Scholarship_Status,Extracurricular_Participation,Residence_Type,School_Medium,Education_System,Transport_Mode,Attendance_Percentage,Study_Hours_per_Week,CGPA,Assignment_Average,Quiz_Average,Mid_Marks,Final_Marks,Final_Exam_Status,Submission_Date
17,Maha Khan,Female,Karachi,Home Schooling,No,Matric,No,Debate Club,Rural,Urdu Medium,Federal Board,Public Transport,75,2,2.18,48.37,76.88,61,79,Pass,2023-04-03
18,Fatima Qureshi,Female,Lahore,Madrasa,Yes,Bachelors,No,Volunteer Work,Rural,English Medium,Punjab Board,Walking,85,9,3.61,53.54,53.05,97,70,Pass,2025-08-18
19,Amna Shah,Female,Karachi,Home Schooling,Yes,Bachelors,No,Sports,Rural,Urdu Medium,Sindh Board,Walking,82,15,2.49,59.34,69.83,66,82,Fail,2025-04-10
20,Sana Shah,Female,Quetta,Madrasa,Yes,PhD,Yes,Sports,Rural,English Medium,Sindh Board,Own Vehicle,81,11,3.02,58.73,43.26,97,46,Pass,2023-08-14
21,Zain Iqbal,Male,Lahore,Private,Yes,Primary,No,Debate Club,Urban,English Medium,Punjab Board,School Bus,82,23,3.51,78.83,84.3,90,77,Fail,2023-10-02
22,Nimra Shah,Female,Gujranwala,Private,Yes,Primary,Yes,None,Rural,Urdu Medium,Punjab Board,Walking,78,19,3.39,51.93,40.15,50,71,Fail,2023-05-15
23,Amna Awan,Female,Faisalabad,Private,No,Primary,Yes,Sports,Rural,Urdu Medium,Sindh Board,School Bus,69,6,3.42,71.62,48.89,43,42,Fail,2023-05-11
24,Maryam Butt,Female,Rawalpindi,Public,Yes,Bachelors,Yes,Volunteer Work,Rural,English Medium,Punjab Board,Walking,74,2,3.47,73.65,43.02,95,53,Pass,2024-12-28
25,Noor Malik,Female,Islamabad,Public,Yes,Primary,No,Multiple Activities,Rural,English Medium,Federal Board,Public Transport,91,6,2.05,45.25,45.03,44,70,Fail,2023-03-19
26,Sara Malik,Female,Faisalabad,Madrasa,No,Primary,Yes,Multiple Activities,Urban,Urdu Medium,Federal Board,Own Vehicle,59,21,3.1,93.36,56.26,57,57,Pass,2024-04-29
27,Saad Khan,Male,Sialkot,Public,Yes,Bachelors,Yes,Arts Society,Rural,Urdu Medium,Cambridge System,Own Vehicle,72,15,3.22,82.7,56.19,44,92,Fail,2023-04-27
28,Sara Iqbal,Female,Karachi,Madrasa,No,Matric,No,None,Urban,English Medium,Federal Board,Public Transport,83,17,2.61,48.91,66.55,93,81,Fail,2025-11-07
29,Hira Butt,Female,Multan,Public,Yes,Uneducated,No,Sports,Rural,Urdu Medium,Cambridge System,Own Vehicle,98,29,2.16,78.72,50.45,73,85,Fail,2023-07-04
30,Adeel Butt,Male,Islamabad,Home Schooling,Yes,PhD,Yes,Sports,Rural,English Medium,Cambridge System,Walking,90,2,3.19,75.29,71.09,64,57,Pass,2025-09-05
31,Bushra Raza,Female,Rawalpindi,Home Schooling,No,PhD,No,Sports,Rural,Urdu Medium,Federal Board,Walking,64,14,3.5,49.63,61.05,48,95,Pass,2023-09-09
32,Bilal Malik,Male,Peshawar,Private,Yes,PhD,No,Arts Society,Rural,English Medium,Sindh Board,Public Transport,75,2,3.72,73.89,44.54,44,43,Fail,2023-07-05
33,Bushra Sheikh,Female,Multan,Private,Yes,Bachelors,Yes,None,Rural,English Medium,Sindh Board,Own Vehicle,66,7,3.17,90.19,75.98,53,41,Fail,2023-04-18
34,Zain Butt,Male,Multan,Public,No,Intermediate,No,None,Urban,English Medium,Sindh Board,School Bus,58,15,3.05,78.12,69.61,95,87,Pass,2024-08-21
35,Maryam Khan,Female,Lahore,Home Schooling,No,Masters,No,Sports,Urban,Urdu Medium,Punjab Board,School Bus,82,21,3.08,46.01,66.73,83,52,Fail,2023-05-31
36,Mehak Shah,Female,Sialkot,Public,Yes,Uneducated,Yes,Arts Society,Rural,Urdu Medium,Punjab Board,School Bus,97,13,3.84,58.19,75.13,84,91,Fail,2024-08-11
37,Sara Raza,Female,Karachi,Private,Yes,Masters,No,Debate Club,Rural,Urdu Medium,Federal Board,Walking,67,17,2.9,84.67,89.8,100,82,Pass,2024-12-03
38,Ali Butt,Male,Gujranwala,Madrasa,No,Masters,No,None,Rural,Urdu Medium,Federal Board,Walking,55,15,3.28,89.39,45.49,65,85,Pass,2024-09-27
39,Ali Raza,Male,Quetta,Home Schooling,Yes,Bachelors,Yes,Multiple Activities,Urban,English Medium,Federal Board,Walking,56,2,3.25,88.18,77.45,72,87,Pass,2023-12-26
40,Mehak Khan,Female,Rawalpindi,Home Schooling,Yes,Bachelors,No,Volunteer Work,Rural,Urdu Medium,Punjab Board,Walking,89,8,2.57,86.56,85.6,57,75,Fail,2025-07-18
41,Zeeshan Khan,Male,Islamabad,Private,Yes,Primary,Yes,Arts Society,Urban,Urdu Medium,Punjab Board,Public Transport,93,15,2.43,93.33,49.01,76,59,Fail,2024-06-14
42,Usman Khan,Male,Multan,Private,No,Matric,Yes,Volunteer Work,Rural,Urdu Medium,Sindh Board,Walking,78,7,2.29,62.81,76.57,61,47,Pass,2025-01-20
43,Zainab Butt,Female,Sialkot,Home Schooling,Yes,Matric,Yes,Sports,Rural,English Medium,Federal Board,School Bus,67,27,3.75,77.92,45.05,96,60,Fail,2024-11-13
44,Maha Sheikh,Female,Peshawar,Private,No,PhD,No,Volunteer Work,Rural,English Medium,Punjab Board,Walking,83,4,3.4,60.4,54.62,55,55,Pass,2025-08-08
45,Zain Raza,Male,Sialkot,Madrasa,Yes,PhD,Yes,None,Rural,English Medium,Sindh Board,Public Transport,87,29,2.07,93.4,83.93,67,55,Fail,2023-12-26
46,Ahmed Awan,Male,Lahore,Public,No,Primary,No,Volunteer Work,Rural,Urdu Medium,Sindh Board,Walking,56,21,3.1,55.58,73.3,75,68,Fail,2024-02-13
47,Alina Malik,Female,Gujranwala,Public,Yes,Matric,No,Volunteer Work,Rural,Urdu Medium,Federal Board,Own Vehicle,70,8,3.29,53.27,89.01,55,67,Fail,2025-03-19
48,Zain Raza,Male,Peshawar,Madrasa,Yes,PhD,Yes,Sports,Urban,English Medium,Sindh Board,Walking,59,22,2.24,83.22,66.42,92,57,Fail,2023-05-14
49,Zainab Khan,Female,Rawalpindi,Public,Yes,Bachelors,Yes,Arts Society,Urban,Urdu Medium,Punjab Board,Public Transport,83,20,2.88,59.16,81.31,51,83,Pass,2023-10-22
50,Sara Butt,Female,Lahore,Home Schooling,Yes,PhD,Yes,Arts Society,Rural,Urdu Medium,Cambridge System,Own Vehicle,67,22,3.32,50.75,67.12,92,84,Fail,2025-01-10
51,Adnan Iqbal,Male,Islamabad,Madrasa,Yes,Bachelors,No,Debate Club,Urban,English Medium,Punjab Board,Public Transport,65,30,3.31,84.34,71.81,68,43,Pass,2024-03-06
52,Taha Raza,Male,Quetta,Madrasa,No,Masters,No,None,Rural,English Medium,Cambridge System,School Bus,78,18,3.91,86.18,56.87,92,68,Pass,2025-03-21
53,Usman Chaudhry,Male,Sialkot,Madrasa,No,Bachelors,Yes,None,Urban,English Medium,Cambridge System,Public Transport,88,2,3.25,55.11,63.03,96,43,Fail,2024-09-02
54,Ali Malik,Male,Multan,Private,Yes,PhD,No,None,Rural,English Medium,Federal Board,School Bus,98,18,3.03,61.57,79.34,80,69,Pass,2024-11-20
55,Maha Sheikh,Female,Multan,Home Schooling,Yes,Intermediate,Yes,Arts Society,Rural,English Medium,Punjab Board,Public Transport,55,25,3.82,69.78,71.05,69,86,Pass,2024-07-23
56,Mehak Sheikh,Female,Islamabad,Home Schooling,No,Primary,Yes,Arts Society,Urban,Urdu Medium,Cambridge System,Own Vehicle,68,29,2.99,83.42,46.44,97,78,Fail,2023-02-14
57,Sana Qureshi,Female,Karachi,Home Schooling,Yes,Intermediate,No,Sports,Rural,English Medium,Cambridge System,Public Transport,70,5,3.86,90.42,44.55,51,100,Fail,2025-07-25
58,Saba Butt,Female,Sialkot,Home Schooling,Yes,Bachelors,No,Arts Society,Rural,English Medium,Cambridge System,Own Vehicle,68,24,3.76,76.88,60.37,67,40,Pass,2024-08-14
59,Shayan Khan,Male,Lahore,Private,Yes,Masters,Yes,Volunteer Work,Urban,Urdu Medium,Sindh Board,Public Transport,84,15,3.01,73.69,59.88,89,52,Fail,2023-12-07
60,Farhan Khan,Male,Sialkot,Private,Yes,Bachelors,Yes,Volunteer Work,Urban,English Medium,Punjab Board,School Bus,65,6,3.72,47.26,76.08,41,93,Pass,2024-03-04
61,Bushra Qureshi,Female,Karachi,Public,No,Matric,Yes,Sports,Urban,English Medium,Sindh Board,Own Vehicle,78,2,2.44,74.85,78.23,93,53,Fail,2023-05-22
62,Shayan Shah,Male,Quetta,Private,No,PhD,Yes,Volunteer Work,Rural,English Medium,Punjab Board,Own Vehicle,55,3,3.04,93.93,85.71,43,63,Fail,2025-03-09
63,Mehak Khan,Female,Multan,Home Schooling,Yes,PhD,Yes,None,Urban,Urdu Medium,Cambridge System,Own Vehicle,79,18,3.27,49.74,74.1,78,71,Fail,2023-05-22
64,Hassan Malik,Male,Multan,Private,No,Bachelors,No,None,Rural,Urdu Medium,Federal Board,School Bus,57,29,3.81,78.76,85.0,74,56,Pass,2024-11-24
65,Bilal Butt,Male,Quetta,Madrasa,Yes,Bachelors,Yes,Multiple Activities,Urban,English Medium,Federal Board,Public Transport,94,6,2.77,66.93,72.32,86,43,Fail,2024-03-21
66,Iqra Raza,Female,Multan,Home Schooling,No,PhD,Yes,Volunteer Work,Urban,English Medium,Cambridge System,Public Transport,96,27,3.34,68.18,55.9,99,92,Pass,2025-10-02
67,Ahmed Khan,Male,Multan,Madrasa,Yes,Matric,Yes,Multiple Activities,Rural,Urdu Medium,Punjab Board,Walking,71,21,3.65,61.89,64.43,59,98,Fail,2025-02-13
68,Ayesha Raza,Female,Islamabad,Public,Yes,Intermediate,Yes,Volunteer Work,Urban,Urdu Medium,Cambridge System,School Bus,65,24,3.64,78.76,51.53,49,62,Pass,2023-05-06
69,Ali Khan,Male,Karachi,Home Schooling,Yes,Masters,Yes,None,Urban,English Medium,Sindh Board,Public Transport,100,27,2.39,60.58,78.79,99,51,Fail,2025-07-14
70,Rehan Iqbal,Male,Lahore,Private,Yes,Masters,No,Debate Club,Rural,English Medium,Federal Board,Walking,85,22,2.96,49.93,88.66,46,93,Pass,2024-04-05
71,Sana Chaudhry,Female,Lahore,Public,No,PhD,Yes,Arts Society,Rural,English Medium,Cambridge System,Own Vehicle,63,10,3.38,90.07,56.35,88,88,Fail,2025-07-03
72,Taha Shah,Male,Islamabad,Public,No,Matric,Yes,Arts Society,Urban,English Medium,Sindh Board,School Bus,92,18,3.61,75.03,45.34,90,57,Pass,2023-03-23
73,Sana Malik,Female,Rawalpindi,Public,Yes,Intermediate,No,Volunteer Work,Rural,English Medium,Sindh Board,Public Transport,74,6,2.7,67.45,79.85,85,66,Fail,2023-06-20
74,Rabia Iqbal,Female,Rawalpindi,Public,No,Intermediate,No,Volunteer Work,Urban,English Medium,Federal Board,Walking,55,23,2.96,86.78,58.48,57,60,Pass,2025-03-01
75,Hira Butt,Female,Lahore,Private,No,Uneducated,No,None,Rural,Urdu Medium,Punjab Board,Public Transport,69,11,2.55,76.22,63.32,67,62,Fail,2024-03-03
76,Usman Butt,Male,Faisalabad,Public,Yes,Intermediate,Yes,Sports,Rural,English Medium,Federal Board,Own Vehicle,62,5,2.94,62.2,69.17,80,63,Pass,2024-12-05
77,Maha Raza,Female,Karachi,Madrasa,Yes,Masters,No,Multiple Activities,Rural,English Medium,Sindh Board,Walking,78,13,3.84,90.08,42.37,70,49,Fail,2024-06-10
78,Ayesha Malik,Female,Islamabad,Private,Yes,Bachelors,No,None,Urban,English Medium,Federal Board,Public Transport,57,29,2.23,46.2,70.78,84,76,Pass,2025-04-26
79,Kiran Iqbal,Female,Quetta,Public,No,Masters,Yes,Multiple Activities,Urban,Urdu Medium,Punjab Board,School Bus,93,19,3.08,91.53,53.29,53,91,Fail,2025-02-25
80,Hamza Sheikh,Male,Lahore,Madrasa,No,Masters,Yes,Arts Society,Rural,English Medium,Punjab Board,Public Transport,91,30,2.02,85.18,69.97,42,55,Fail,2024-05-21
81,Hira Raza,Female,Gujranwala,Madrasa,No,Matric,Yes,None,Rural,Urdu Medium,Federal Board,Public Transport,100,6,2.22,89.71,67.67,84,72,Pass,2025-10-31
82,Zain Malik,Male,Gujranwala,Home Schooling,Yes,PhD,Yes,Sports,Rural,Urdu Medium,Sindh Board,Public Transport,57,26,3.0,91.62,79.61,54,50,Fail,2025-04-28
83,Rabia Shah,Female,Multan,Private,No,PhD,No,Sports,Urban,English Medium,Sindh Board,School Bus,85,11,3.61,54.81,59.77,91,41,Pass,2023-06-23
84,Amna Shah,Female,Rawalpindi,Madrasa,Yes,Bachelors,Yes,Multiple Activities,Rural,Urdu Medium,Federal Board,Own Vehicle,82,8,2.39,56.65,82.55,86,73,Fail,2024-02-24
85,Hira Shah,Female,Sialkot,Madrasa,Yes,Masters,No,None,Rural,English Medium,Sindh Board,Walking,99,5,3.09,79.41,70.72,93,83,Fail,2025-07-30
86,Hassan Awan,Male,Lahore,Public,No,Primary,No,Volunteer Work,Rural,English Medium,Punjab Board,Public Transport,64,23,2.56,73.04,76.3,78,42,Pass,2025-04-06
87,Sana Qureshi,Female,Multan,Home Schooling,Yes,Intermediate,No,Volunteer Work,Rural,English Medium,Punjab Board,School Bus,96,15,2.17,83.97,50.69,90,57,Fail,2025-07-18
88,Noor Malik,Female,Rawalpindi,Private,Yes,Masters,No,Arts Society,Rural,English Medium,Sindh Board,Own Vehicle,61,20,2.1,83.79,82.06,100,97,Fail,2024-10-02
89,Taha Qureshi,Male,Rawalpindi,Madrasa,No,Primary,No,Debate Club,Rural,English Medium,Cambridge System,Public Transport,95,30,2.56,58.71,68.24,99,82,Pass,2024-12-03
90,Adnan Chaudhry,Male,Islamabad,Home Schooling,Yes,Uneducated,Yes,None,Urban,English Medium,Cambridge System,Walking,79,15,2.9,52.09,48.54,67,53,Fail,2024-11-28
91,Talha Malik,Male,Gujranwala,Home Schooling,No,Intermediate,Yes,Sports,Rural,English Medium,Federal Board,Public Transport,96,4,3.83,85.12,54.09,54,78,Pass,2025-07-28
92,Danish Iqbal,Male,Gujranwala,Public,Yes,Bachelors,Yes,Arts Society,Rural,Urdu Medium,Cambridge System,Public Transport,72,10,2.96,85.29,73.74,49,76,Pass,2025-07-09
93,Zain Sheikh,Male,Multan,Madrasa,No,Matric,Yes,None,Rural,Urdu Medium,Cambridge System,Walking,81,24,3.54,59.73,63.35,80,44,Pass,2024-11-19
94,Danish Butt,Male,Rawalpindi,Home Schooling,Yes,Primary,No,Sports,Rural,Urdu Medium,Punjab Board,Walking,66,20,2.68,79.27,61.46,89,97,Pass,2024-06-12
95,Bilal Khan,Male,Islamabad,Home Schooling,No,PhD,Yes,Multiple Activities,Rural,English Medium,Sindh Board,Public Transport,72,17,3.02,85.39,43.99,55,43,Fail,2025-11-13
96,Alina Shah,Female,Sialkot,Private,No,PhD,Yes,Arts Society,Rural,Urdu Medium,Federal Board,Walking,57,30,3.55,53.56,83.37,44,65,Fail,2025-10-04
97,Zainab Chaudhry,Female,Quetta,Private,No,Masters,Yes,Debate Club,Rural,English Medium,Cambridge System,Public Transport,60,24,2.97,83.49,74.58,62,42,Fail,2024-01-25
98,Maha Awan,Female,Islamabad,Home Schooling,No,Uneducated,No,Arts Society,Urban,English Medium,Punjab Board,Walking,97,8,2.97,93.17,83.64,44,53,Pass,2024-08-08
99,Usman Awan,Male,Faisalabad,Private,Yes,Matric,Yes,Arts Society,Rural,Urdu Medium,Punjab Board,Walking,78,5,3.75,84.2,50.97,58,53,Pass,2023-03-01
100,Iqra Malik,Female,Quetta,Private,No,Intermediate,Yes,Multiple Activities,Urban,Urdu Medium,Federal Board,Walking,94,13,2.82,90.77,79.99,64,40,Pass,2024-05-27
101,Maryam Sheikh,Female,Islamabad,Public,Yes,Matric,No,Multiple Activities,Urban,English Medium,Punjab Board,School Bus,100,22,3.02,56.6,65.48,49,64,Pass,2023-09-13
102,Amna Raza,Female,Islamabad,Private,No,Uneducated,Yes,None,Urban,English Medium,Cambridge System,School Bus,61,25,2.9,76.26,59.87,95,92,Fail,2024-08-19
103,Zainab Awan,Female,Rawalpindi,Madrasa,Yes,Matric,No,Sports,Rural,Urdu Medium,Punjab Board,Own Vehicle,71,7,2.49,77.24,45.01,97,80,Pass,2023-04-03
104,Rabia Awan,Female,Lahore,Public,Yes,Uneducated,No,Volunteer Work,Urban,Urdu Medium,Punjab Board,School Bus,77,3,3.51,51.84,88.39,84,68,Pass,2025-11-07
105,Farhan Iqbal,Male,Rawalpindi,Public,No,Matric,Yes,Debate Club,Rural,English Medium,Federal Board,School Bus,66,23,2.94,89.76,56.6,97,42,Fail,2024-09-29
106,Maha Malik,Female,Karachi,Madrasa,Yes,Bachelors,No,None,Rural,English Medium,Federal Board,School Bus,80,2,2.61,71.2,85.14,78,56,Pass,2023-07-24
107,Zeeshan Awan,Male,Lahore,Madrasa,Yes,Masters,Yes,Multiple Activities,Urban,Urdu Medium,Federal Board,School Bus,76,25,2.71,58.13,48.07,64,71,Fail,2024-10-11
108,Ali Qureshi,Male,Islamabad,Private,No,Uneducated,No,Multiple Activities,Rural,Urdu Medium,Punjab Board,Walking,75,29,3.73,48.59,77.56,52,61,Fail,2024-06-05
109,Noor Khan,Female,Multan,Home Schooling,Yes,Intermediate,Yes,Multiple Activities,Rural,Urdu Medium,Cambridge System,Own Vehicle,76,24,2.3,62.08,59.61,71,70,Pass,2023-06-01
110,Bushra Qureshi,Female,Peshawar,Madrasa,No,PhD,No,Arts Society,Rural,Urdu Medium,Cambridge System,Walking,59,19,2.87,53.29,83.86,82,59,Fail,2023-03-03
111,Mehak Qureshi,Female,Faisalabad,Madrasa,No,Intermediate,No,Multiple Activities,Rural,Urdu Medium,Federal Board,Own Vehicle,71,20,2.42,86.58,60.35,84,84,Pass,2025-02-19
112,Usman Khan,Male,Multan,Private,Yes,Intermediate,No,Debate Club,Rural,Urdu Medium,Sindh Board,Own Vehicle,74,25,2.99,80.32,42.56,94,63,Pass,2023-08-26
113,Adnan Sheikh,Male,Gujranwala,Madrasa,No,Intermediate,Yes,Multiple Activities,Rural,English Medium,Punjab Board,School Bus,62,30,2.25,56.51,49.47,86,72,Fail,2024-07-15
114,Noor Chaudhry,Female,Lahore,Madrasa,No,Bachelors,No,Arts Society,Urban,English Medium,Federal Board,Public Transport,90,27,3.86,46.7,64.9,74,78,Fail,2023-11-23
115,Danish Butt,Male,Rawalpindi,Madrasa,Yes,Matric,No,Arts Society,Urban,English Medium,Federal Board,School Bus,95,7,3.01,56.03,46.47,96,83,Fail,2024-11-13
116,Maha Malik,Female,Peshawar,Public,No,Matric,Yes,Arts Society,Urban,Urdu Medium,Cambridge System,School Bus,69,27,3.11,69.22,86.37,43,97,Pass,2023-06-20
117,Amna Shah,Female,Quetta,Madrasa,Yes,Matric,Yes,Debate Club,Urban,English Medium,Federal Board,Public Transport,94,12,2.56,81.26,86.74,95,50,Pass,2025-04-09
118,Amna Awan,Female,Quetta,Home Schooling,Yes,Bachelors,Yes,Volunteer Work,Urban,English Medium,Federal Board,School Bus,82,8,2.73,52.09,71.45,48,85,Pass,2023-03-16
119,Zainab Malik,Female,Quetta,Private,Yes,Uneducated,No,Debate Club,Rural,Urdu Medium,Cambridge System,Public Transport,95,16,2.56,50.18,76.14,40,78,Fail,2025-01-27
120,Maryam Shah,Female,Faisalabad,Private,Yes,Uneducated,Yes,Sports,Rural,English Medium,Federal Board,Walking,84,20,3.79,48.02,61.15,40,67,Pass,2025-10-16
121,Ayesha Malik,Female,Rawalpindi,Home Schooling,Yes,Matric,Yes,Volunteer Work,Rural,English Medium,Cambridge System,Walking,72,15,2.3,88.9,60.88,44,58,Pass,2024-12-26
122,Hassan Raza,Male,Lahore,Public,Yes,PhD,No,Debate Club,Urban,English Medium,Punjab Board,Walking,95,25,3.32,85.39,87.75,65,67,Pass,2023-12-16
123,Amna Shah,Female,Multan,Private,Yes,Primary,No,Sports,Urban,English Medium,Punjab Board,School Bus,73,22,2.02,93.06,75.4,63,63,Pass,2024-11-20
124,Sana Raza,Female,Rawalpindi,Home Schooling,Yes,Masters,Yes,Arts Society,Urban,Urdu Medium,Punjab Board,Own Vehicle,86,30,2.08,69.39,71.51,45,73,Fail,2025-03-22
125,Sana Malik,Female,Quetta,Home Schooling,No,Bachelors,Yes,None,Urban,Urdu Medium,Sindh Board,Walking,94,23,3.94,63.34,44.83,62,83,Pass,2025-08-26
126,Ali Shah,Male,Lahore,Madrasa,No,Primary,Yes,Debate Club,Urban,Urdu Medium,Cambridge System,School Bus,55,19,2.56,83.08,83.31,83,81,Fail,2023-12-25
127,Rehan Sheikh,Male,Lahore,Private,No,Primary,No,Sports,Urban,English Medium,Cambridge System,Walking,59,12,2.2,88.46,83.49,53,74,Pass,2025-07-26
128,Nimra Awan,Female,Faisalabad,Home Schooling,No,Bachelors,No,Debate Club,Urban,Urdu Medium,Cambridge System,Own Vehicle,77,27,2.26,48.2,89.7,82,68,Fail,2025-06-15
129,Kiran Iqbal,Female,Islamabad,Home Schooling,No,Primary,No,Sports,Urban,English Medium,Punjab Board,School Bus,77,4,2.26,79.94,64.14,68,40,Pass,2024-02-18
130,Mehak Khan,Female,Gujranwala,Madrasa,Yes,Masters,Yes,Volunteer Work,Rural,English Medium,Cambridge System,Public Transport,62,20,3.97,59.34,59.74,80,100,Pass,2024-02-02
131,Farhan Khan,Male,Lahore,Public,Yes,Primary,Yes,None,Urban,English Medium,Cambridge System,Public Transport,64,22,3.05,48.59,49.23,84,48,Pass,2024-08-23
132,Kamran Khan,Male,Sialkot,Private,No,Intermediate,No,Multiple Activities,Rural,Urdu Medium,Punjab Board,Walking,66,18,2.99,49.32,54.25,97,84,Fail,2024-04-02
133,Adnan Khan,Male,Lahore,Home Schooling,No,Primary,Yes,Sports,Urban,English Medium,Punjab Board,School Bus,64,6,3.17,75.57,89.26,49,55,Pass,2023-11-05
134,Farhan Awan,Male,Gujranwala,Public,Yes,Intermediate,No,Debate Club,Rural,English Medium,Federal Board,Own Vehicle,63,15,3.16,59.95,88.83,85,97,Pass,2025-04-17
135,Rabia Chaudhry,Female,Gujranwala,Private,Yes,Intermediate,Yes,Volunteer Work,Urban,Urdu Medium,Federal Board,Own Vehicle,56,20,3.92,67.37,68.28,85,79,Pass,2024-04-01
136,Bilal Sheikh,Male,Sialkot,Madrasa,No,Matric,No,Sports,Rural,English Medium,Federal Board,Own Vehicle,70,18,3.93,75.33,89.29,43,56,Pass,2023-07-09
137,Alina Shah,Female,Sialkot,Public,No,Intermediate,No,Multiple Activities,Urban,Urdu Medium,Sindh Board,Public Transport,99,22,3.28,69.53,86.29,62,78,Fail,2023-05-17
138,Taha Butt,Male,Karachi,Home Schooling,Yes,Bachelors,Yes,Sports,Rural,English Medium,Federal Board,Public Transport,72,12,2.33,49.21,59.63,48,81,Pass,2025-09-24
139,Alina Sheikh,Female,Multan,Madrasa,Yes,Uneducated,Yes,Arts Society,Urban,Urdu Medium,Punjab Board,Public Transport,84,5,2.13,53.65,69.13,96,65,Pass,2023-05-13
140,Ali Qureshi,Male,Gujranwala,Private,No,Masters,Yes,Volunteer Work,Rural,Urdu Medium,Cambridge System,School Bus,92,3,3.55,80.89,66.34,64,100,Fail,2025-07-21
141,Shayan Khan,Male,Rawalpindi,Public,No,Intermediate,No,Multiple Activities,Rural,Urdu Medium,Federal Board,School Bus,63,29,3.75,76.55,40.44,82,60,Pass,2023-05-28
142,Hira Iqbal,Female,Sialkot,Public,Yes,Masters,No,Sports,Urban,English Medium,Punjab Board,Public Transport,98,27,2.34,60.71,89.78,52,76,Fail,2024-08-22
143,Kamran Iqbal,Male,Rawalpindi,Public,No,Bachelors,No,Arts Society,Rural,Urdu Medium,Federal Board,School Bus,68,21,2.52,80.69,76.13,57,88,Fail,2024-05-30
144,Sara Butt,Female,Quetta,Madrasa,No,PhD,Yes,Debate Club,Urban,Urdu Medium,Sindh Board,School Bus,93,16,2.55,78.04,66.38,79,92,Fail,2025-03-19
145,Sana Chaudhry,Female,Rawalpindi,Home Schooling,No,Matric,No,Multiple Activities,Urban,Urdu Medium,Sindh Board,Walking,97,21,2.3,86.55,66.76,51,55,Fail,2023-11-02
